Zip,Meals
501,86
544,86
1001,74
1002,80
1003,80
1004,80
1005,80
1007,80
1008,74
1009,74
1010,74
1011,80
1011,74
1012,80
1013,74
1014,74
1020,74
1021,74
1022,74
1026,80
1027,80
1028,74
1029,86
1030,74
1031,80
1032,80
1033,80
1034,74
1035,80
1036,74
1037,80
1038,80
1039,80
1040,74
1041,74
1050,80
1053,80
1054,68
1054,80
1056,74
1057,74
1059,80
1060,80
1061,80
1062,80
1063,80
1066,80
1068,80
1069,74
1070,80
1071,74
1072,68
1073,80
1074,80
1075,80
1075,74
1077,74
1079,74
1080,74
1081,74
1082,80
1083,80
1084,80
1085,74
1086,74
1088,80
1089,74
1090,74
1092,80
1093,68
1094,80
1095,74
1096,80
1097,74
1098,80
1101,74
1102,74
1103,74
1104,74
1105,74
1106,74
1107,74
1108,74
1109,74
1111,74
1115,74
1116,74
1118,74
1119,74
1128,74
1129,74
1138,74
1139,74
1144,74
1151,74
1152,74
1199,74
1201,86
1202,86
1203,86
1220,86
1222,86
1223,86
1223,74
1224,86
1225,86
1226,86
1227,86
1229,86
1230,86
1235,86
1236,86
1237,86
1238,86
1240,86
1242,86
1243,80
1244,86
1245,86
1247,86
1252,86
1253,86
1254,86
1255,86
1256,86
1257,86
1258,86
1259,86
1260,86
1262,86
1263,86
1264,86
1266,86
1267,86
1270,86
1301,68
1302,68
1330,68
1331,80
1337,68
1338,68
1339,68
1340,68
1341,68
1342,68
1343,86
1344,68
1346,68
1347,68
1349,68
1350,68
1351,68
1354,68
1355,68
1360,68
1364,68
1366,68
1366,80
1367,68
1368,80
1370,68
1373,68
1375,68
1376,68
1378,68
1379,68
1380,68
1420,80
1430,80
1431,86
1432,86
1434,68
1434,80
1436,80
1438,80
1440,80
1441,80
1450,86
1451,80
1452,80
1453,80
1460,86
1462,80
1463,86
1464,86
1467,80
1468,80
1469,86
1470,86
1471,86
1472,86
1473,80
1474,86
1475,80
1501,80
1503,80
1504,80
1505,80
1506,80
1507,80
1508,80
1509,80
1510,80
1515,80
1516,80
1518,80
1519,80
1520,80
1521,74
1522,80
1523,80
1524,80
1525,80
1526,80
1527,80
1529,80
1531,80
1532,80
1534,80
1535,80
1536,80
1537,80
1538,80
1540,80
1541,80
1542,80
1543,80
1545,80
1546,80
1550,80
1560,80
1561,80
1562,80
1564,80
1566,80
1568,80
1569,80
1570,80
1571,80
1581,80
1583,80
1585,80
1586,80
1588,80
1590,80
1601,80
1602,80
1603,80
1604,80
1605,80
1606,80
1607,80
1608,80
1609,80
1610,80
1611,80
1612,80
1613,80
1614,80
1615,80
1653,80
1655,80
1701,86
1702,86
1703,86
1704,86
1705,86
1718,86
1719,86
1720,86
1721,86
1730,86
1731,86
1740,80
1741,86
1742,86
1745,80
1746,86
1747,80
1748,86
1749,86
1752,86
1754,86
1756,80
1757,80
1760,86
1770,86
1772,80
1773,86
1775,86
1776,86
1778,86
1784,86
1801,86
1803,86
1805,86
1810,80
1812,80
1813,86
1815,86
1821,86
1822,86
1824,86
1826,86
1827,86
1830,80
1831,80
1832,80
1833,80
1834,80
1835,80
1840,80
1841,80
1842,80
1843,80
1844,80
1845,80
1850,86
1851,86
1852,86
1853,86
1854,86
1860,80
1862,86
1863,86
1864,86
1865,86
1866,86
1867,86
1876,86
1879,86
1880,86
1885,80
1886,86
1887,86
1888,86
1889,86
1890,86
1899,80
1901,80
1902,80
1903,80
1904,80
1905,80
1906,80
1907,80
1908,80
1910,80
1913,80
1915,80
1921,80
1922,80
1923,80
1929,80
1930,80
1931,80
1936,80
1937,80
1938,80
1940,80
1944,80
1945,80
1949,80
1950,80
1951,80
1952,80
1960,80
1961,80
1965,80
1966,80
1969,80
1970,80
1971,80
1982,80
1983,80
1984,80
1985,80
2018,80
2019,80
2020,80
2021,80
2025,80
2026,80
2027,80
2030,80
2032,80
2035,80
2038,80
2040,80
2041,80
2043,80
2044,80
2045,80
2047,80
2048,80
2050,80
2051,80
2052,80
2053,80
2054,80
2055,80
2056,80
2059,80
2060,80
2061,80
2062,80
2065,80
2066,80
2067,80
2070,80
2071,80
2072,80
2081,80
2090,80
2093,80
2108,92
2109,92
2110,92
2111,92
2112,92
2113,92
2114,92
2115,92
2116,92
2117,92
2118,92
2119,92
2120,92
2121,92
2122,92
2123,92
2124,92
2125,92
2126,92
2127,92
2128,92
2129,92
2130,92
2131,92
2132,92
2133,92
2134,92
2135,92
2136,92
2137,92
2138,92
2139,92
2140,92
2141,92
2142,92
2143,86
2144,86
2145,86
2148,86
2149,86
2150,92
2151,92
2152,92
2153,86
2155,86
2156,86
2163,92
2169,80
2170,80
2171,80
2176,86
2180,86
2184,80
2185,80
2186,80
2187,80
2188,80
2189,80
2190,80
2191,80
2196,92
2199,92
2201,92
2203,92
2204,92
2205,92
2206,92
2210,92
2211,92
2212,92
2215,92
2217,92
2222,92
2238,92
2241,92
2269,80
2283,92
2284,92
2293,92
2297,92
2298,92
2301,80
2302,80
2303,80
2304,80
2305,80
2322,80
2324,80
2325,80
2327,80
2330,80
2331,80
2332,80
2333,80
2334,80
2337,80
2338,80
2339,80
2341,80
2343,80
2344,80
2345,80
2346,80
2347,80
2348,80
2349,80
2350,80
2351,80
2355,80
2356,80
2357,80
2358,80
2359,80
2360,80
2361,80
2362,80
2364,80
2366,80
2367,80
2368,80
2370,80
2375,80
2379,80
2381,80
2382,80
2420,86
2421,86
2445,80
2446,80
2447,80
2451,86
2452,86
2453,86
2454,86
2455,86
2456,86
2457,80
2458,86
2459,86
2460,86
2461,86
2462,86
2464,86
2465,86
2466,86
2467,92
2467,86
2467,80
2468,86
2471,86
2472,86
2474,86
2475,86
2476,86
2477,86
2478,86
2479,86
2481,80
2482,80
2492,80
2493,86
2494,80
2495,86
2532,92
2532,80
2534,92
2535,92
2536,92
2537,92
2538,80
2539,92
2540,86
2541,86
2542,92
2543,86
2552,92
2553,92
2554,92
2554,80
2556,92
2557,92
2558,80
2559,92
2561,92
2562,92
2562,80
2563,92
2564,92
2568,92
2571,80
2574,92
2575,92
2576,80
2584,92
2601,92
2630,92
2631,92
2632,92
2633,92
2634,92
2635,92
2637,92
2638,92
2639,92
2641,92
2642,92
2643,92
2644,92
2645,92
2646,92
2647,92
2648,92
2649,92
2650,92
2651,92
2652,92
2653,92
2655,92
2657,92
2659,92
2660,92
2661,92
2662,92
2663,92
2664,92
2666,92
2667,92
2668,92
2669,92
2670,92
2671,92
2672,92
2673,92
2675,92
2702,80
2703,80
2712,80
2713,92
2714,80
2715,80
2717,80
2718,80
2719,80
2720,80
2721,80
2722,80
2723,80
2724,80
2725,80
2726,80
2738,80
2739,80
2740,80
2741,80
2742,80
2743,80
2744,80
2745,80
2746,80
2747,80
2748,80
2760,80
2761,80
2762,80
2763,80
2764,80
2766,80
2767,80
2768,80
2769,80
2770,80
2771,80
2777,80
2779,80
2780,80
2790,80
2791,80
2801,80
2802,80
2804,68
2806,80
2807,68
2808,68
2809,80
2812,68
2813,68
2814,80
2815,80
2816,68
2817,68
2818,68
2822,68
2823,80
2824,80
2825,80
2826,80
2827,68
2828,80
2829,80
2830,80
2831,80
2832,68
2833,68
2835,80
2836,68
2837,80
2838,80
2839,80
2840,80
2841,80
2842,80
2852,68
2857,80
2858,80
2859,80
2860,80
2861,80
2862,80
2863,80
2864,80
2865,80
2871,80
2872,80
2873,68
2874,68
2875,68
2876,80
2877,68
2878,80
2879,68
2880,68
2881,68
2882,68
2883,68
2885,80
2886,68
2887,68
2888,68
2889,68
2891,68
2892,68
2893,68
2894,68
2895,80
2896,80
2898,68
2901,80
2902,80
2903,80
2904,80
2905,80
2906,80
2907,80
2908,80
2909,80
2910,80
2911,80
2912,80
2914,80
2915,80
2916,80
2917,80
2918,80
2919,80
2920,80
2921,80
2940,80
3031,74
3032,74
3033,74
3034,74
3036,74
3037,74
3038,74
3040,74
3041,74
3042,74
3043,74
3044,74
3045,74
3046,74
3047,74
3048,74
3049,74
3051,74
3052,74
3053,74
3054,74
3055,74
3057,74
3060,74
3061,74
3062,74
3063,74
3064,74
3070,74
3071,74
3073,74
3076,74
3077,74
3079,74
3082,74
3084,74
3086,74
3087,74
3101,74
3102,74
3103,74
3104,74
3105,74
3106,74
3108,74
3109,74
3110,74
3111,74
3215,74
3216,74
3217,74
3218,74
3220,74
3221,74
3222,74
3223,74
3224,74
3225,74
3226,74
3227,80
3229,74
3230,74
3231,74
3233,74
3234,74
3235,74
3237,74
3238,74
3240,74
3241,74
3242,74
3243,74
3244,68
3244,74
3245,74
3246,74
3247,74
3249,74
3251,74
3252,74
3253,74
3254,80
3254,74
3255,74
3256,74
3257,68
3257,74
3258,74
3259,80
3260,74
3261,74
3262,74
3263,74
3264,74
3266,74
3268,74
3269,74
3272,74
3273,74
3275,74
3276,74
3278,74
3279,74
3280,68
3281,74
3282,74
3284,68
3285,74
3287,74
3289,74
3290,74
3291,74
3293,74
3298,74
3299,74
3301,74
3302,74
3303,74
3304,74
3305,74
3307,74
3431,68
3435,68
3440,74
3441,68
3442,74
3443,68
3444,68
3445,68
3446,68
3447,68
3448,68
3449,74
3450,68
3451,68
3452,68
3455,68
3456,68
3457,68
3458,74
3461,68
3462,68
3464,68
3465,68
3466,68
3467,68
3468,74
3469,68
3470,68
3561,74
3570,68
3574,68
3574,74
3575,68
3576,68
3579,68
3580,74
3581,68
3582,68
3583,68
3584,68
3585,74
3586,74
3588,68
3589,68
3590,68
3592,68
3593,68
3595,68
3597,68
3598,68
3601,68
3602,68
3603,68
3604,68
3605,68
3607,68
3608,68
3609,68
3740,74
3741,74
3743,68
3745,68
3746,68
3748,68
3748,74
3749,74
3750,74
3751,68
